avg_ratings,num_pages,num_ratings,num_reviews,publish_date,Young Adult,Thriller,Science Fiction,Paranormal,Fantasy,Novels,Historical,Fiction,Crime,Adult,Mystery,Nonfiction,Philosophy,Romance,Suspense,History,Classics,Childrens,Psychology,Contemporary,Literature,Biography,Humor,Cultural,Historical Fiction,Horror,publish_year,publish_month,num_awards,kindle_price
3.93,304.0,605,42,1998-10-15 00:00:00,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1998,10,3,$0.00
4.05,292.0,"8,822",266,1998-09-15 00:00:00,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1998,9,0,$11.99
3.85,245.0,"3,351",189,1998-12-10 00:00:00,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1998,12,0,$5.59
4.17,313.0,"112,838","2,578",1998-07-01 00:00:00,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,1998,7,1,$8.99
3.86,376.0,"1,778",82,2000-04-15 00:00:00,False,False,False,False,False,False,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,2000,4,0,$7.99
3.91,296.0,"7,213",710,2002-01-15 00:00:00,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,2002,1,5,$7.99
4.11,513.0,"22,912",993,2000-09-15 00:00:00,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2000,9,0,$8.99
3.94,401.0,"5,547",373,2000-02-15 00:00:00,False,True,False,False,False,False,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,2000,2,0,$9.99
3.86,307.0,750,44,2000-07-15 00:00:00,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2000,7,0,$7.99
3.94,352.0,"1,520",42,2001-04-15 00:00:00,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,2001,4,0,$7.99
3.62,272.0,598,73,2000-10-15 00:00:00,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,2000,10,0,$2.99
3.76,352.0,562,35,2000-11-15 00:00:00,False,True,False,False,False,False,False,True,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,2000,11,0,
4.18,336.0,"104,283","2,139",2001-06-15 00:00:00,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,2001,6,2,$8.99
4.04,448.0,"6,262",224,2001-11-19 00:00:00,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,2001,11,0,$7.99
