Unnamed: 0,avg_ratings,num_pages,num_ratings,num_reviews,publish_date,Unnamed: 9,year,date_key,Young Adult,Thriller,Science Fiction,Paranormal,Fantasy,Novels,Historical,Fiction,Crime,Adult,Mystery,Nonfiction,Philosophy,Romance,Suspense,History,Classics,Childrens,Psychology,Contemporary,Literature,Biography,Humor,Cultural,Historical Fiction,Horror,publish_year,publish_month,num_awards,Unnamed: 67
3810,5.0,,3,0,11/1/2014 0:00,11-01,2014,2017-11-01,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,2014,11,0,
3860,3.46,259.0,530,77,1/12/2014 0:00,01-12,2014,2017-01-12,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2014,1,4,
3939,3.27,256.0,45,6,3/1/2014 0:00,03-01,2014,2017-03-01,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2014,3,0,
4068,3.86,290.0,239,71,10/1/2014 0:00,10-01,2014,2017-10-01,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,2014,10,0,
4575,4.06,401.0,"6,538","1,326",4/22/2014 0:00,04-22,2014,2017-04-22,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,2014,4,1,
4686,4.24,126.0,140,94,3/3/2014 0:00,03-03,2014,2017-03-03,True,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,2014,3,0,
4687,3.29,,14,9,5/10/2014 0:00,05-10,2014,2017-05-10,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,2014,5,0,
4695,3.87,,163,30,1/6/2014 0:00,01-06,2014,2017-01-06,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,2014,1,0,
4697,3.97,160.0,33,12,2/28/2014 0:00,02-28,2014,2017-02-28,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2014,2,0,
4700,4.54,314.0,13,6,2/9/2014 0:00,02-09,2014,2017-02-09,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2014,2,0,
4701,3.57,288.0,"1,106",224,2/4/2014 0:00,02-04,2014,2017-02-04,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,2014,2,0,
4703,4.38,227.0,24,12,12/10/2014 0:00,12-10,2014,2017-12-10,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2014,12,0,
4704,4.0,250.0,32,14,6/15/2014 0:00,06-15,2014,2017-06-15,True,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2014,6,0,
4707,4.16,513.0,253,78,3/24/2014 0:00,03-24,2014,2017-03-24,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,2014,3,0,
4710,4.05,696.0,37,7,3/22/2014 0:00,03-22,2014,2017-03-22,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,2014,3,0,
4711,4.33,,9,2,4/30/2014 0:00,04-30,2014,2017-04-30,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2014,4,0,
4712,5.0,214.0,1,0,5/16/2014 0:00,05-16,2014,2017-05-16,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2014,5,0,
4713,4.32,324.0,19,7,1/15/2014 0:00,01-15,2014,2017-01-15,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2014,1,0,
4714,4.14,540.0,91,36,5/18/2014 0:00,05-18,2014,2017-05-18,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2014,5,0,
4716,3.95,224.0,104,10,4/10/2014 0:00,04-10,2014,2017-04-10,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2014,4,0,
4722,3.81,240.0,100,25,6/16/2014 0:00,06-16,2014,2017-06-16,True,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,2014,6,0,
4724,3.93,290.0,309,152,7/1/2014 0:00,07-01,2014,2017-07-01,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2014,7,0,
4726,3.84,304.0,973,167,2/10/2014 0:00,02-10,2014,2017-02-10,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,2014,2,5,
4727,3.87,396.0,52,18,3/27/2014 0:00,03-27,2014,2017-03-27,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,2014,3,0,
4729,4.12,317.0,52,26,6/1/2014 0:00,06-01,2014,2017-06-01,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2014,6,0,
